"Time (ps)"	"Channel 2 - Counts per bin"
0	4049
10000000000	4296
20000000000	4614
30000000000	4493
40000000000	4239
50000000000	4123
60000000000	4213
70000000000	4406
80000000000	4669
90000000000	4146
100000000000	4003
110000000000	4227
120000000000	4606
130000000000	4657
140000000000	4175
150000000000	4104
160000000000	4173
170000000000	4555
180000000000	4549
190000000000	4372
200000000000	4037
210000000000	4095
220000000000	4486
230000000000	4654
240000000000	4278
250000000000	4206
260000000000	4166
270000000000	4506
280000000000	4388
290000000000	4294
300000000000	4231
310000000000	4174
320000000000	4449
330000000000	4592
340000000000	4133
350000000000	3980
360000000000	4023
370000000000	4368
380000000000	4530
390000000000	4165
400000000000	4019
410000000000	4184
420000000000	4340
430000000000	4504
440000000000	4209
450000000000	4114
460000000000	4182
470000000000	4536
480000000000	4468
490000000000	4167
500000000000	4114
510000000000	4189
520000000000	4443
530000000000	4629
540000000000	4315
550000000000	4035
560000000000	4277
570000000000	4520
580000000000	4473
590000000000	4183
600000000000	4119
610000000000	4229
620000000000	4373
630000000000	4521
640000000000	4255
650000000000	4031
660000000000	4249
670000000000	4533
680000000000	4564
690000000000	4193
700000000000	4090
710000000000	4166
720000000000	4379
730000000000	4590
740000000000	4200
750000000000	4129
760000000000	4066
770000000000	4485
780000000000	4482
790000000000	4202
800000000000	4184
810000000000	4210
820000000000	4501
830000000000	4485
840000000000	4281
850000000000	4142
860000000000	4094
870000000000	4514
880000000000	4576
890000000000	4377
900000000000	4166
910000000000	4115
920000000000	4485
930000000000	4400
940000000000	4229
950000000000	3998
960000000000	4264
970000000000	4383
980000000000	4563
990000000000	4271
1000000000000	4073
1010000000000	4149
1020000000000	4472
1030000000000	4613
1040000000000	4328
1050000000000	4136
1060000000000	4073
1070000000000	4408
1080000000000	4637
1090000000000	4166
1100000000000	4053
1110000000000	4234
1120000000000	4574
1130000000000	4503
1140000000000	4150
1150000000000	4028
1160000000000	4157
1170000000000	4488
1180000000000	4532
1190000000000	4230
1200000000000	4085
1210000000000	4216
1220000000000	4533
1230000000000	4428
1240000000000	4125
1250000000000	4183
1260000000000	4196
1270000000000	4518
1280000000000	4645
1290000000000	4253
1300000000000	4130
1310000000000	4234
1320000000000	4561
1330000000000	4389
1340000000000	4212
1350000000000	4188
1360000000000	4295
1370000000000	4501
1380000000000	4553
1390000000000	4235
1400000000000	4117
1410000000000	4208
1420000000000	4568
1430000000000	4664
1440000000000	4235
1450000000000	4227
1460000000000	4318
1470000000000	4386
1480000000000	4641
1490000000000	4272
1500000000000	4243
1510000000000	4075
1520000000000	4471
1530000000000	4543
1540000000000	4239
1550000000000	4267
1560000000000	4288
1570000000000	4493
1580000000000	4549
1590000000000	4232
1600000000000	4164
1610000000000	4345
