"Time (ps)"	"Channel 2 - Counts per bin"
0	677
10000000000	662
20000000000	648
30000000000	715
40000000000	667
50000000000	664
60000000000	675
70000000000	697
80000000000	690
90000000000	701
100000000000	726
110000000000	717
120000000000	700
130000000000	688
140000000000	725
150000000000	679
160000000000	733
170000000000	684
180000000000	724
190000000000	678
200000000000	732
210000000000	702
220000000000	663
230000000000	736
240000000000	725
250000000000	636
260000000000	689
270000000000	689
280000000000	680
290000000000	723
300000000000	719
310000000000	678
320000000000	679
330000000000	702
340000000000	707
350000000000	658
360000000000	638
370000000000	715
380000000000	681
390000000000	732
400000000000	701
410000000000	697
420000000000	665
430000000000	701
440000000000	706
450000000000	690
460000000000	676
470000000000	633
480000000000	722
490000000000	730
500000000000	674
510000000000	661
520000000000	687
530000000000	703
540000000000	722
550000000000	648
560000000000	680
570000000000	685
580000000000	637
590000000000	757
600000000000	673
610000000000	729
620000000000	680
630000000000	692
640000000000	666
650000000000	724
660000000000	705
670000000000	691
680000000000	706
690000000000	679
700000000000	670
710000000000	694
720000000000	657
730000000000	690
740000000000	668
750000000000	737
760000000000	667
770000000000	684
780000000000	651
790000000000	701
800000000000	677
810000000000	707
820000000000	649
830000000000	677
840000000000	732
850000000000	692
860000000000	682
870000000000	655
880000000000	657
890000000000	704
900000000000	710
910000000000	658
920000000000	696
930000000000	671
940000000000	721
950000000000	674
960000000000	693
970000000000	670
980000000000	694
990000000000	645
1000000000000	710
1010000000000	646
1020000000000	667
1030000000000	731
1040000000000	727
1050000000000	690
1060000000000	703
1070000000000	653
1080000000000	734
1090000000000	673
1100000000000	694
1110000000000	643
1120000000000	693
1130000000000	693
1140000000000	687
1150000000000	716
1160000000000	690
1170000000000	682
1180000000000	718
1190000000000	713
1200000000000	683
1210000000000	664
1220000000000	655
1230000000000	676
1240000000000	706
1250000000000	680
1260000000000	671
1270000000000	644
1280000000000	694
1290000000000	703
1300000000000	707
1310000000000	676
1320000000000	692
1330000000000	661
1340000000000	686
1350000000000	651
1360000000000	686
1370000000000	737
1380000000000	692
1390000000000	688
1400000000000	659
1410000000000	692
1420000000000	691
1430000000000	688
1440000000000	764
1450000000000	672
1460000000000	664
1470000000000	680
1480000000000	646
1490000000000	732
1500000000000	678
1510000000000	668
1520000000000	677
1530000000000	694
1540000000000	698
1550000000000	737
1560000000000	715
1570000000000	716
1580000000000	736
1590000000000	706
1600000000000	653
1610000000000	696
1620000000000	718
1630000000000	726
1640000000000	695
1650000000000	708
1660000000000	743
1670000000000	733
1680000000000	736
1690000000000	678
1700000000000	723
1710000000000	715
1720000000000	667
1730000000000	695
1740000000000	675
1750000000000	712
1760000000000	729
1770000000000	638
1780000000000	677
1790000000000	696
1800000000000	718
1810000000000	651
1820000000000	694
1830000000000	676
1840000000000	671
1850000000000	647
1860000000000	710
1870000000000	734
1880000000000	698
1890000000000	753
1900000000000	667
1910000000000	738
1920000000000	679
1930000000000	682
1940000000000	691
1950000000000	713
1960000000000	665
1970000000000	710
1980000000000	690
1990000000000	650
2000000000000	734
2010000000000	692
2020000000000	680
2030000000000	671
2040000000000	635
2050000000000	681
2060000000000	647
2070000000000	715
2080000000000	688
2090000000000	702
2100000000000	704
2110000000000	707
2120000000000	697
2130000000000	698
2140000000000	683
2150000000000	696
2160000000000	661
2170000000000	703
2180000000000	662
2190000000000	666
2200000000000	720
2210000000000	667
2220000000000	654
2230000000000	711
2240000000000	670
2250000000000	669
2260000000000	655
2270000000000	695
2280000000000	718
2290000000000	668
2300000000000	678
2310000000000	715
2320000000000	619
2330000000000	764
2340000000000	750
2350000000000	695
2360000000000	689
2370000000000	659
2380000000000	667
2390000000000	674
2400000000000	669
2410000000000	696
2420000000000	733
2430000000000	671
2440000000000	704
2450000000000	663
2460000000000	672
2470000000000	687
2480000000000	699
2490000000000	695
2500000000000	715
2510000000000	689
2520000000000	621
2530000000000	678
2540000000000	690
2550000000000	664
2560000000000	733
2570000000000	654
2580000000000	695
2590000000000	693
2600000000000	685
2610000000000	654
2620000000000	695
2630000000000	680
2640000000000	684
2650000000000	714
2660000000000	624
2670000000000	682
2680000000000	714
2690000000000	696
2700000000000	675
2710000000000	619
2720000000000	709
2730000000000	682
2740000000000	705
2750000000000	738
2760000000000	675
2770000000000	700
2780000000000	677
2790000000000	693
2800000000000	688
2810000000000	707
2820000000000	698
2830000000000	705
2840000000000	700
2850000000000	659
2860000000000	630
2870000000000	654
2880000000000	679
2890000000000	675
2900000000000	665
2910000000000	708
2920000000000	683
2930000000000	690
2940000000000	682
2950000000000	679
2960000000000	693
2970000000000	638
2980000000000	675
2990000000000	631
3000000000000	641
3010000000000	753
3020000000000	660
3030000000000	714
3040000000000	715
3050000000000	709
3060000000000	722
3070000000000	632
3080000000000	657
3090000000000	687
3100000000000	682
3110000000000	642
3120000000000	703
3130000000000	690
3140000000000	714
3150000000000	657
3160000000000	653
3170000000000	723
3180000000000	769
3190000000000	675
3200000000000	668
3210000000000	681
3220000000000	732
3230000000000	672
3240000000000	676
3250000000000	671
3260000000000	714
3270000000000	666
3280000000000	655
3290000000000	659
3300000000000	701
3310000000000	713
3320000000000	653
3330000000000	688
3340000000000	664
3350000000000	716
3360000000000	665
3370000000000	654
3380000000000	659
3390000000000	675
3400000000000	665
3410000000000	717
3420000000000	680
3430000000000	741
3440000000000	673
3450000000000	731
3460000000000	684
3470000000000	669
3480000000000	693
3490000000000	703
3500000000000	681
3510000000000	732
3520000000000	712
3530000000000	653
3540000000000	702
3550000000000	687
3560000000000	715
3570000000000	651
3580000000000	642
3590000000000	704
3600000000000	657
3610000000000	682
3620000000000	628
3630000000000	698
3640000000000	754
3650000000000	700
3660000000000	676
3670000000000	671
3680000000000	642
3690000000000	661
3700000000000	677
3710000000000	649
3720000000000	662
3730000000000	685
3740000000000	675
3750000000000	697
3760000000000	679
3770000000000	664
3780000000000	685
3790000000000	652
3800000000000	692
3810000000000	691
3820000000000	692
3830000000000	682
3840000000000	663
3850000000000	671
3860000000000	697
3870000000000	699
3880000000000	712
3890000000000	705
3900000000000	692
3910000000000	627
3920000000000	692
3930000000000	686
3940000000000	645
3950000000000	701
3960000000000	670
3970000000000	683
3980000000000	676
3990000000000	674
4000000000000	690
4010000000000	678
4020000000000	647
4030000000000	661
4040000000000	743
4050000000000	637
4060000000000	725
4070000000000	694
4080000000000	660
4090000000000	667
4100000000000	687
4110000000000	692
4120000000000	711
4130000000000	689
4140000000000	693
4150000000000	727
4160000000000	673
4170000000000	678
4180000000000	667
4190000000000	684
4200000000000	621
4210000000000	698
4220000000000	658
4230000000000	684
4240000000000	650
4250000000000	662
4260000000000	618
4270000000000	683
4280000000000	654
4290000000000	644
4300000000000	682
4310000000000	696
4320000000000	675
4330000000000	687
4340000000000	685
4350000000000	669
4360000000000	656
4370000000000	663
4380000000000	700
4390000000000	675
4400000000000	708
4410000000000	659
4420000000000	654
4430000000000	667
4440000000000	661
4450000000000	683
4460000000000	681
4470000000000	684
4480000000000	638
4490000000000	699
4500000000000	662
4510000000000	685
4520000000000	702
4530000000000	714
4540000000000	712
4550000000000	692
4560000000000	668
4570000000000	704
4580000000000	621
4590000000000	657
4600000000000	698
4610000000000	666
4620000000000	666
4630000000000	658
4640000000000	675
4650000000000	688
4660000000000	638
4670000000000	697
4680000000000	694
4690000000000	632
4700000000000	667
4710000000000	676
4720000000000	642
4730000000000	692
4740000000000	674
4750000000000	648
4760000000000	693
4770000000000	676
4780000000000	717
4790000000000	711
4800000000000	661
4810000000000	645
4820000000000	672
4830000000000	724
4840000000000	696
4850000000000	612
4860000000000	674
4870000000000	641
4880000000000	671
4890000000000	621
4900000000000	702
4910000000000	690
4920000000000	662
4930000000000	685
4940000000000	682
4950000000000	702
4960000000000	655
4970000000000	710
4980000000000	655
4990000000000	656
5000000000000	675
