"Time (ps)"	"Channel 2 - Counts per bin"
0	18597
10000000000	18572
20000000000	18708
30000000000	18435
40000000000	18876
50000000000	18200
60000000000	18970
70000000000	18439
80000000000	18886
90000000000	18126
100000000000	18719
110000000000	18435
120000000000	18996
130000000000	18316
140000000000	18952
150000000000	18209
160000000000	18804
170000000000	18344
180000000000	18731
190000000000	18622
200000000000	18972
210000000000	18515
220000000000	19022
230000000000	18205
240000000000	18906
250000000000	18374
260000000000	18654
270000000000	18410
280000000000	18740
290000000000	18430
300000000000	18805
310000000000	18427
320000000000	19477
330000000000	19672
340000000000	19877
350000000000	18652
360000000000	18389
370000000000	18450
380000000000	18738
390000000000	18374
400000000000	18949
410000000000	18335
420000000000	18765
430000000000	18309
440000000000	18919
450000000000	18353
460000000000	18875
470000000000	18131
480000000000	18918
490000000000	18181
500000000000	18972
510000000000	18142
520000000000	19361
530000000000	18266
540000000000	18951
550000000000	17885
560000000000	18935
570000000000	18162
580000000000	18889
590000000000	18191
600000000000	18574
610000000000	18295
620000000000	18807
630000000000	18291
640000000000	19871
650000000000	18178
660000000000	18614
670000000000	18517
680000000000	18469
690000000000	18425
700000000000	18589
710000000000	18529
720000000000	18221
730000000000	18649
740000000000	18647
750000000000	18825
760000000000	18285
770000000000	18901
780000000000	18249
790000000000	18959
800000000000	18318
810000000000	18938
820000000000	18176
830000000000	18973
840000000000	18092
850000000000	19209
860000000000	18253
870000000000	19057
880000000000	18163
890000000000	19133
900000000000	18453
910000000000	19066
920000000000	18168
930000000000	19256
940000000000	17897
950000000000	19037
960000000000	17994
970000000000	19050
980000000000	18299
990000000000	19117
1000000000000	18220
1010000000000	19149
1020000000000	17887
1030000000000	19194
1040000000000	18257
1050000000000	19308
1060000000000	18307
1070000000000	18697
1080000000000	18060
1090000000000	18731
1100000000000	18333
1110000000000	18955
1120000000000	18422
1130000000000	18811
1140000000000	18793
1150000000000	18879
1160000000000	18601
1170000000000	18829
1180000000000	18442
1190000000000	18865
1200000000000	18257
1210000000000	19009
1220000000000	18539
1230000000000	18909
1240000000000	18651
1250000000000	18828
1260000000000	18670
1270000000000	18466
1280000000000	18651
1290000000000	18772
1300000000000	18495
1310000000000	18292
1320000000000	19060
1330000000000	18397
1340000000000	18954
1350000000000	18593
1360000000000	18721
1370000000000	18295
1380000000000	18911
1390000000000	18459
1400000000000	19138
1410000000000	18521
1420000000000	19143
1430000000000	18569
1440000000000	19077
1450000000000	18502
1460000000000	19062
1470000000000	18203
1480000000000	18978
1490000000000	18151
1500000000000	18973
1510000000000	18114
1520000000000	18657
1530000000000	18532
1540000000000	18636
1550000000000	18622
1560000000000	18587
1570000000000	18562
1580000000000	18749
1590000000000	18203
1600000000000	18996
1610000000000	18353
1620000000000	19166
1630000000000	18401
1640000000000	18819
1650000000000	18353
1660000000000	19599
1670000000000	18820
1680000000000	18524
1690000000000	18560
1700000000000	18229
1710000000000	19036
1720000000000	18389
1730000000000	18728
1740000000000	18754
1750000000000	18496
1760000000000	18659
1770000000000	18627
1780000000000	18873
1790000000000	18427
1800000000000	18632
1810000000000	18638
1820000000000	18520
1830000000000	18949
1840000000000	18446
1850000000000	18827
1860000000000	18547
1870000000000	19052
1880000000000	18020
1890000000000	18771
1900000000000	18510
1910000000000	18644
1920000000000	18763
1930000000000	18739
