"Time (ps)"	"Counts per bin"
0	49061
100000000	49129
200000000	49679
300000000	49915
400000000	49889
500000000	49950
600000000	50377
700000000	49420
800000000	49964
900000000	49873
1000000000	49959
1100000000	50412
1200000000	49751
1300000000	50119
1400000000	49987
1500000000	49983
1600000000	50254
1700000000	50298
1800000000	49797
1900000000	50021
2000000000	50054
2100000000	49761
2200000000	50305
2300000000	50448
2400000000	50337
2500000000	50015
2600000000	49792
2700000000	50178
2800000000	49961
2900000000	49579
3000000000	49946
3100000000	50509
3200000000	50132
3300000000	50107
3400000000	49811
3500000000	50304
3600000000	49735
3700000000	49933
3800000000	50005
3900000000	50081
4000000000	50099
4100000000	50219
4200000000	49925
4300000000	49996
4400000000	50263
4500000000	49340
4600000000	49564
4700000000	50003
4800000000	50243
4900000000	50253
5000000000	50209
5100000000	49849
5200000000	49751
5300000000	50377
5400000000	49602
5500000000	49380
5600000000	50181
5700000000	49627
5800000000	49853
5900000000	49726
6000000000	49918
6100000000	50047
6200000000	50049
6300000000	50063
6400000000	49881
6500000000	49893
6600000000	50257
6700000000	50106
6800000000	50043
6900000000	49862
7000000000	50055
7100000000	49939
7200000000	50152
7300000000	50024
7400000000	50184
7500000000	50081
7600000000	49976
7700000000	49839
7800000000	50027
7900000000	50228
8000000000	50056
8100000000	50190
8200000000	50086
8300000000	50046
8400000000	49819
8500000000	49858
8600000000	49726
8700000000	50305
8800000000	50049
8900000000	50300
9000000000	49775
9100000000	49805
9200000000	50009
9300000000	50270
9400000000	50109
9500000000	50298
9600000000	50214
9700000000	50065
9800000000	50356
9900000000	50107
10000000000	50086
10100000000	49832
10200000000	50128
10300000000	50173
10400000000	49942
10500000000	50415
10600000000	50256
10700000000	50349
10800000000	50110
10900000000	50479
11000000000	49445
11100000000	49906
11200000000	49978
11300000000	50216
11400000000	50325
11500000000	50302
11600000000	49664
11700000000	49886
11800000000	50043
11900000000	50091
12000000000	49914
12100000000	49947
12200000000	49624
12300000000	50270
12400000000	49970
12500000000	50553
12600000000	49842
12700000000	49852
12800000000	50159
12900000000	50067
13000000000	50012
13100000000	50186
13200000000	49714
13300000000	49796
13400000000	49955
13500000000	49830
13600000000	49649
13700000000	50333
13800000000	49915
13900000000	50090
14000000000	49902
14100000000	49855
14200000000	50306
14300000000	49971
14400000000	49669
14500000000	50122
14600000000	49910
14700000000	49936
14800000000	50001
14900000000	50181
15000000000	50237
15100000000	50000
15200000000	50555
15300000000	49583
15400000000	49721
15500000000	49632
15600000000	49987
15700000000	49952
15800000000	49689
15900000000	50320
16000000000	49478
16100000000	49956
16200000000	50198
16300000000	50151
16400000000	49791
16500000000	50111
16600000000	49772
16700000000	50234
16800000000	49962
16900000000	49972
17000000000	50352
17100000000	50225
17200000000	49806
17300000000	49801
17400000000	49780
17500000000	50046
17600000000	50221
17700000000	49956
17800000000	49824
17900000000	49897
18000000000	49303
18100000000	50147
18200000000	49822
18300000000	50221
18400000000	50283
18500000000	49556
18600000000	49592
18700000000	50031
18800000000	49974
18900000000	49549
19000000000	49939
19100000000	50171
19200000000	49713
19300000000	49936
19400000000	50030
19500000000	50213
19600000000	49887
19700000000	50172
19800000000	50189
19900000000	50012
20000000000	49669
20100000000	50043
20200000000	49750
20300000000	49745
20400000000	50377
20500000000	49977
20600000000	49818
20700000000	50054
20800000000	50095
20900000000	49787
21000000000	50008
21100000000	49327
21200000000	49758
21300000000	49961
21400000000	49683
21500000000	50379
21600000000	50053
21700000000	49892
21800000000	50191
21900000000	50251
22000000000	49548
22100000000	49822
22200000000	50047
22300000000	50102
22400000000	49879
22500000000	49888
22600000000	50129
22700000000	49766
22800000000	49714
22900000000	49943
23000000000	49419
23100000000	49922
23200000000	50033
23300000000	50196
23400000000	50106
23500000000	50107
23600000000	49465
23700000000	50092
23800000000	49937
23900000000	50316
24000000000	49701
24100000000	50169
24200000000	50082
24300000000	50025
24400000000	50028
24500000000	49989
24600000000	49891
24700000000	49752
24800000000	49719
24900000000	49923
25000000000	49617
25100000000	49307
25200000000	49338
25300000000	48937
25400000000	48948
25500000000	48960
25600000000	48558
25700000000	48569
25800000000	48463
25900000000	48709
26000000000	48770
26100000000	48879
26200000000	48471
26300000000	48476
26400000000	49085
26500000000	48561
26600000000	48431
26700000000	48229
26800000000	48237
26900000000	48412
27000000000	48476
27100000000	48743
27200000000	48564
27300000000	48669
27400000000	48215
27500000000	47978
27600000000	48028
27700000000	48363
27800000000	48868
27900000000	48639
28000000000	48890
28100000000	48674
28200000000	48723
28300000000	48572
28400000000	48704
28500000000	48487
28600000000	48411
28700000000	48162
28800000000	48480
28900000000	48663
29000000000	48710
29100000000	48330
29200000000	48236
29300000000	48375
29400000000	48467
29500000000	48558
29600000000	48523
29700000000	48075
29800000000	48741
29900000000	48771
30000000000	48362
30100000000	48424
30200000000	48504
30300000000	48320
30400000000	48859
30500000000	48678
30600000000	48349
30700000000	48184
30800000000	49056
30900000000	48171
31000000000	48843
31100000000	48415
31200000000	48566
31300000000	48615
31400000000	48540
31500000000	48327
31600000000	48209
31700000000	48758
31800000000	48877
31900000000	49195
32000000000	48376
32100000000	48548
32200000000	48820
32300000000	48583
32400000000	48723
32500000000	48422
32600000000	48439
32700000000	48932
32800000000	48351
32900000000	48910
33000000000	49129
33100000000	48563
33200000000	48650
33300000000	48700
33400000000	48209
33500000000	48784
33600000000	48796
33700000000	48759
33800000000	48422
33900000000	48829
34000000000	49139
34100000000	48205
34200000000	48543
34300000000	48896
34400000000	48655
34500000000	48399
34600000000	48443
34700000000	48561
34800000000	48660
34900000000	48388
35000000000	48934
35100000000	48375
35200000000	49011
35300000000	48338
35400000000	48293
35500000000	48578
35600000000	48206
35700000000	48695
35800000000	48604
35900000000	48722
36000000000	48111
36100000000	48552
36200000000	48861
36300000000	48882
36400000000	48513
36500000000	48577
36600000000	48342
36700000000	48622
36800000000	48418
36900000000	48810
37000000000	48678
37100000000	48923
37200000000	48642
37300000000	48603
37400000000	48710
37500000000	48288
37600000000	48716
37700000000	48918
37800000000	48566
37900000000	48748
38000000000	48655
38100000000	48981
38200000000	48660
38300000000	48674
38400000000	48814
38500000000	48656
38600000000	49113
38700000000	48519
38800000000	48426
38900000000	48848
39000000000	48551
39100000000	48565
39200000000	48694
39300000000	48591
39400000000	48840
39500000000	48524
39600000000	48363
39700000000	48786
39800000000	48899
39900000000	48645
40000000000	48585
40100000000	47884
40200000000	48908
40300000000	48636
40400000000	48933
40500000000	48732
40600000000	49414
40700000000	48424
40800000000	49134
40900000000	48717
41000000000	49210
41100000000	48404
41200000000	48668
41300000000	49103
41400000000	48828
41500000000	48744
41600000000	48731
41700000000	48686
41800000000	48509
41900000000	48962
42000000000	49011
42100000000	48830
42200000000	49092
42300000000	48900
42400000000	48967
42500000000	48886
42600000000	48691
42700000000	48696
42800000000	49231
42900000000	48846
43000000000	48675
43100000000	49230
43200000000	48511
43300000000	49052
43400000000	48979
43500000000	49114
43600000000	48882
43700000000	48921
43800000000	48378
43900000000	48791
44000000000	49024
44100000000	48982
44200000000	48950
44300000000	48821
44400000000	48527
44500000000	49126
44600000000	48157
44700000000	48877
44800000000	49102
44900000000	48857
45000000000	49070
45100000000	49048
45200000000	48870
45300000000	48855
45400000000	48950
45500000000	48715
45600000000	48700
45700000000	48744
45800000000	48918
45900000000	48899
46000000000	48533
46100000000	48310
46200000000	48434
46300000000	48940
46400000000	48909
46500000000	49077
46600000000	48565
46700000000	48506
46800000000	48597
46900000000	48946
47000000000	48794
47100000000	48838
47200000000	48828
47300000000	48854
47400000000	48851
47500000000	48631
47600000000	48544
47700000000	48990
47800000000	48343
47900000000	49171
48000000000	48965
48100000000	48772
48200000000	48647
48300000000	48846
48400000000	48567
48500000000	48777
48600000000	48840
48700000000	48936
48800000000	48660
48900000000	48699
49000000000	48479
49100000000	49065
