"Time (ps)"	"Counts per bin"
0	1962
100000000	1853
200000000	1805
300000000	1776
400000000	1851
500000000	1833
600000000	1826
700000000	1756
800000000	1799
900000000	1694
1000000000	1746
1100000000	1720
1200000000	1719
1300000000	1665
1400000000	1737
1500000000	1844
1600000000	1746
1700000000	1802
1800000000	1739
1900000000	1750
2000000000	1828
2100000000	1737
2200000000	1643
2300000000	1718
2400000000	1685
2500000000	1754
2600000000	1688
2700000000	1706
2800000000	1799
2900000000	1648
3000000000	1765
3100000000	1769
3200000000	1663
3300000000	1709
3400000000	1787
3500000000	1732
3600000000	1768
3700000000	1732
3800000000	1717
3900000000	1734
4000000000	1735
4100000000	1726
4200000000	1836
4300000000	1742
4400000000	1755
4500000000	1753
4600000000	1752
4700000000	1759
4800000000	1730
4900000000	1750
5000000000	1759
5100000000	1754
5200000000	1845
5300000000	1743
5400000000	1701
5500000000	1714
5600000000	1693
5700000000	1718
5800000000	1789
5900000000	1667
6000000000	1751
6100000000	1736
6200000000	1719
6300000000	1752
6400000000	1631
6500000000	1699
6600000000	1749
6700000000	1697
6800000000	1760
6900000000	1754
7000000000	1766
7100000000	1757
7200000000	1682
7300000000	1713
7400000000	1795
7500000000	1749
7600000000	1739
7700000000	1733
7800000000	1742
7900000000	1783
8000000000	1753
8100000000	1776
8200000000	1694
8300000000	1747
8400000000	1624
8500000000	1719
8600000000	1721
8700000000	1670
8800000000	1708
8900000000	1738
9000000000	1681
9100000000	1669
9200000000	1709
9300000000	1794
9400000000	1724
9500000000	1688
9600000000	1759
9700000000	1689
9800000000	1838
9900000000	1727
10000000000	1688
10100000000	1758
10200000000	1686
10300000000	1690
10400000000	1793
10500000000	1732
10600000000	1737
10700000000	1759
10800000000	1710
10900000000	1744
11000000000	1681
11100000000	1797
11200000000	1674
11300000000	1720
11400000000	1785
11500000000	1807
11600000000	1778
11700000000	1737
11800000000	1686
11900000000	1701
12000000000	1695
12100000000	1732
12200000000	1677
12300000000	1729
12400000000	1724
12500000000	1740
12600000000	1799
12700000000	1775
12800000000	1720
12900000000	1724
13000000000	1692
13100000000	1772
13200000000	1797
13300000000	1729
13400000000	1689
13500000000	1684
13600000000	1672
13700000000	1700
13800000000	1678
13900000000	1785
14000000000	1762
14100000000	1717
14200000000	1713
14300000000	1814
14400000000	1743
14500000000	1781
14600000000	1693
14700000000	1718
14800000000	1802
14900000000	1748
15000000000	1672
15100000000	1751
15200000000	1676
15300000000	1714
15400000000	1799
15500000000	1700
15600000000	1766
15700000000	1766
15800000000	1748
15900000000	1710
16000000000	1686
16100000000	1722
16200000000	1687
16300000000	1651
16400000000	1754
16500000000	1673
16600000000	1716
16700000000	1643
16800000000	1710
16900000000	1778
17000000000	1709
17100000000	1703
17200000000	1758
17300000000	1742
17400000000	1703
17500000000	1655
17600000000	1692
17700000000	1751
17800000000	1735
17900000000	1715
18000000000	1749
18100000000	1730
18200000000	1774
18300000000	1802
18400000000	1818
18500000000	1651
18600000000	1699
