"Time (ps)"	"Counts per bin"
0	99313
100000000	99704
200000000	99887
300000000	99579
400000000	99626
500000000	100559
600000000	99418
700000000	100308
800000000	100133
900000000	100106
1000000000	100044
1100000000	100024
1200000000	100040
1300000000	99966
1400000000	100138
1500000000	99970
1600000000	99956
1700000000	99828
1800000000	99684
1900000000	99872
2000000000	100797
2100000000	99453
2200000000	100272
2300000000	99813
2400000000	100168
2500000000	99982
2600000000	99987
2700000000	99959
2800000000	99738
2900000000	99663
3000000000	98927
3100000000	99736
3200000000	99474
3300000000	99454
3400000000	100325
3500000000	99965
3600000000	100166
3700000000	100015
3800000000	99735
3900000000	99796
4000000000	99772
4100000000	100089
4200000000	99841
4300000000	100196
4400000000	99356
4500000000	100158
4600000000	100576
4700000000	99707
4800000000	100801
4900000000	99942
5000000000	100022
5100000000	99649
5200000000	99753
5300000000	99758
5400000000	99551
5500000000	100184
5600000000	99787
5700000000	99677
5800000000	100135
5900000000	99723
6000000000	100067
6100000000	99781
6200000000	99927
6300000000	100077
6400000000	99439
6500000000	99766
6600000000	99768
6700000000	99896
6800000000	99994
6900000000	99856
7000000000	99897
7100000000	99851
7200000000	99858
7300000000	100442
7400000000	100312
7500000000	99848
7600000000	99600
7700000000	99946
7800000000	99388
7900000000	100398
8000000000	100056
8100000000	99951
8200000000	99706
8300000000	99690
8400000000	99587
8500000000	99627
8600000000	99229
8700000000	99819
8800000000	99509
8900000000	100633
9000000000	99520
9100000000	100109
9200000000	100599
9300000000	100202
9400000000	100070
9500000000	100161
9600000000	100471
9700000000	100139
9800000000	100114
9900000000	99440
10000000000	100086
10100000000	99706
10200000000	99929
10300000000	100222
10400000000	100052
10500000000	100492
10600000000	99756
10700000000	99387
10800000000	100230
10900000000	99884
11000000000	99389
11100000000	100189
11200000000	99559
11300000000	100033
11400000000	99639
11500000000	99772
11600000000	99562
11700000000	99545
11800000000	99671
11900000000	100006
12000000000	99677
12100000000	100629
12200000000	100315
12300000000	99802
12400000000	99600
12500000000	100592
12600000000	99523
12700000000	99003
12800000000	100201
12900000000	99592
13000000000	99395
13100000000	99621
13200000000	99575
13300000000	99428
13400000000	99008
13500000000	99487
13600000000	99466
13700000000	100068
13800000000	99855
13900000000	99696
14000000000	99736
14100000000	100044
14200000000	100368
14300000000	99646
14400000000	99765
14500000000	99591
14600000000	99856
14700000000	99900
14800000000	99902
14900000000	99645
15000000000	100452
15100000000	99545
15200000000	99880
15300000000	100294
15400000000	99710
15500000000	99571
15600000000	99510
15700000000	100245
15800000000	100264
15900000000	99811
16000000000	99827
16100000000	100117
16200000000	99488
16300000000	100340
16400000000	99928
16500000000	99751
16600000000	100105
16700000000	100205
16800000000	99987
16900000000	99823
17000000000	99664
17100000000	99802
17200000000	99215
17300000000	99337
17400000000	100312
17500000000	99771
17600000000	99629
17700000000	100157
17800000000	99394
17900000000	99562
18000000000	99659
18100000000	99757
18200000000	99408
18300000000	99062
18400000000	100321
18500000000	99897
18600000000	99625
18700000000	99624
18800000000	99495
18900000000	99951
19000000000	100332
19100000000	99995
19200000000	99377
19300000000	99917
19400000000	100080
19500000000	99921
19600000000	99564
19700000000	99715
19800000000	99429
19900000000	99480
20000000000	99532
20100000000	100142
20200000000	100342
20300000000	99924
20400000000	99684
20500000000	100009
20600000000	99802
20700000000	100073
20800000000	99943
20900000000	99780
21000000000	99514
21100000000	100066
21200000000	99993
21300000000	99121
21400000000	100139
21500000000	99931
21600000000	99968
21700000000	100295
21800000000	99550
21900000000	100389
22000000000	99868
22100000000	99166
22200000000	99496
22300000000	100507
22400000000	100046
22500000000	99621
22600000000	99999
22700000000	98915
22800000000	99968
22900000000	99957
23000000000	99696
23100000000	99404
23200000000	99674
23300000000	99136
23400000000	99977
23500000000	99418
23600000000	100203
23700000000	99203
23800000000	99218
23900000000	99189
24000000000	98838
24100000000	99913
24200000000	99625
24300000000	99389
24400000000	99752
24500000000	99554
24600000000	99596
24700000000	99935
24800000000	99614
24900000000	99596
25000000000	99519
25100000000	99202
25200000000	99113
25300000000	99715
25400000000	99087
25500000000	99432
25600000000	99262
25700000000	99898
25800000000	99658
25900000000	100252
26000000000	99791
26100000000	99564
26200000000	99789
26300000000	99393
26400000000	99311
26500000000	99375
26600000000	99334
26700000000	99653
26800000000	98849
26900000000	99068
27000000000	99494
27100000000	99902
27200000000	99472
27300000000	99001
27400000000	99228
27500000000	99959
27600000000	99459
27700000000	99051
27800000000	99403
27900000000	99240
28000000000	99658
28100000000	99414
28200000000	99527
28300000000	99067
28400000000	99010
28500000000	99440
28600000000	99449
28700000000	98883
28800000000	99623
28900000000	99413
29000000000	99653
29100000000	99176
29200000000	98840
29300000000	98758
29400000000	99373
29500000000	98970
29600000000	99324
29700000000	99682
29800000000	99373
29900000000	99772
30000000000	99349
30100000000	99323
30200000000	99674
