"Time (ps)"	"Counts per bin"
0	32444
100000000	32170
200000000	32140
300000000	32360
400000000	31958
500000000	31967
600000000	31914
700000000	32255
800000000	32155
900000000	32200
1000000000	32023
1100000000	31980
1200000000	32180
1300000000	32425
1400000000	31917
1500000000	31787
1600000000	32282
1700000000	32155
1800000000	31592
1900000000	32324
2000000000	32006
2100000000	32029
2200000000	31817
2300000000	31835
2400000000	32082
2500000000	31887
2600000000	32317
2700000000	32102
2800000000	32282
2900000000	31756
3000000000	32086
3100000000	32204
3200000000	31833
3300000000	32089
3400000000	31994
3500000000	32082
3600000000	31880
3700000000	31769
3800000000	31939
3900000000	31923
4000000000	31756
4100000000	31867
4200000000	31806
4300000000	32090
4400000000	31992
4500000000	31658
4600000000	31686
4700000000	32186
4800000000	32150
4900000000	32048
5000000000	32071
5100000000	32363
5200000000	31967
5300000000	32191
5400000000	31680
5500000000	32247
5600000000	32137
5700000000	32315
5800000000	31924
5900000000	32173
6000000000	32419
6100000000	32266
6200000000	32004
6300000000	31770
6400000000	31961
6500000000	32035
6600000000	31952
6700000000	32206
6800000000	32232
6900000000	32046
7000000000	32086
7100000000	32024
7200000000	31888
7300000000	32222
7400000000	32003
7500000000	31784
7600000000	31899
7700000000	32203
7800000000	32068
7900000000	32004
8000000000	32202
8100000000	31978
8200000000	32117
8300000000	32096
8400000000	31937
8500000000	31903
8600000000	31908
8700000000	32220
8800000000	31939
8900000000	32272
9000000000	31950
9100000000	32028
9200000000	32227
9300000000	32270
9400000000	31912
9500000000	32280
9600000000	32112
9700000000	32166
9800000000	32227
9900000000	32079
10000000000	32297
10100000000	32157
10200000000	32083
10300000000	31833
10400000000	31925
10500000000	32251
10600000000	31795
10700000000	32250
10800000000	31877
10900000000	31880
11000000000	31848
11100000000	32347
11200000000	31846
11300000000	31819
11400000000	32045
11500000000	31711
11600000000	31846
11700000000	31735
11800000000	32056
11900000000	32022
12000000000	31971
12100000000	31996
12200000000	32003
12300000000	31892
12400000000	32272
12500000000	31792
12600000000	32078
12700000000	31779
12800000000	32099
12900000000	31938
13000000000	31966
13100000000	32226
13200000000	31694
13300000000	32417
13400000000	31875
13500000000	32187
13600000000	32249
13700000000	31883
13800000000	31934
13900000000	32391
14000000000	32052
14100000000	32203
14200000000	31771
14300000000	32056
14400000000	31640
14500000000	31989
14600000000	32341
14700000000	31634
14800000000	31945
14900000000	32142
15000000000	32068
15100000000	32116
15200000000	32205
15300000000	31923
15400000000	32265
15500000000	31865
15600000000	31775
15700000000	31978
15800000000	32124
15900000000	31969
16000000000	32006
16100000000	32097
16200000000	32508
16300000000	31908
16400000000	32289
16500000000	32248
16600000000	31750
16700000000	32144
16800000000	32059
16900000000	32087
17000000000	32003
17100000000	32310
17200000000	32177
17300000000	32170
17400000000	32015
17500000000	32191
17600000000	32198
17700000000	32200
17800000000	32261
17900000000	32013
18000000000	32392
18100000000	32000
18200000000	32120
18300000000	31703
18400000000	32136
18500000000	32094
18600000000	31899
18700000000	31931
18800000000	31869
18900000000	32047
19000000000	32158
19100000000	31798
19200000000	32113
19300000000	32080
19400000000	32035
19500000000	32074
19600000000	31721
19700000000	32035
19800000000	31704
19900000000	31920
20000000000	32379
20100000000	32340
20200000000	31998
20300000000	31800
20400000000	32348
20500000000	32048
20600000000	31816
20700000000	32116
20800000000	32083
20900000000	31833
21000000000	32051
21100000000	32218
21200000000	32161
21300000000	32416
21400000000	31847
21500000000	31943
21600000000	32079
21700000000	32357
21800000000	32374
21900000000	32167
22000000000	32011
22100000000	32449
22200000000	32518
22300000000	32228
22400000000	31890
22500000000	31553
22600000000	31881
22700000000	32288
22800000000	32069
22900000000	31735
23000000000	31566
23100000000	32018
23200000000	32105
23300000000	31981
23400000000	32059
23500000000	32020
23600000000	32109
23700000000	31678
23800000000	32044
23900000000	32105
24000000000	32191
24100000000	31816
24200000000	32093
24300000000	32175
24400000000	31709
24500000000	32340
24600000000	31889
24700000000	32045
24800000000	31738
24900000000	31857
25000000000	32223
25100000000	32259
25200000000	31964
25300000000	32274
25400000000	32145
25500000000	31830
25600000000	31994
25700000000	31878
25800000000	31984
25900000000	32104
26000000000	31932
26100000000	32118
26200000000	32311
26300000000	32157
26400000000	32114
26500000000	32234
26600000000	32053
26700000000	31682
26800000000	31966
26900000000	31857
27000000000	32252
27100000000	32095
27200000000	32143
27300000000	32200
27400000000	31931
27500000000	31958
27600000000	32078
27700000000	32052
27800000000	32057
27900000000	32258
28000000000	32105
28100000000	31984
28200000000	32171
28300000000	32410
28400000000	31873
28500000000	32059
28600000000	32126
28700000000	31537
28800000000	31962
28900000000	32049
29000000000	31897
29100000000	32015
29200000000	31989
29300000000	32293
29400000000	32119
29500000000	32373
29600000000	32486
29700000000	31767
29800000000	32036
29900000000	31980
30000000000	31827
30100000000	32146
30200000000	32077
30300000000	32172
30400000000	32204
30500000000	32532
30600000000	31956
30700000000	32039
30800000000	32341
30900000000	32085
31000000000	32098
31100000000	32104
31200000000	31983
31300000000	32297
31400000000	31964
31500000000	32177
31600000000	32241
31700000000	32053
31800000000	31863
31900000000	32429
32000000000	31774
32100000000	32073
32200000000	31998
32300000000	32129
32400000000	31779
32500000000	32032
32600000000	32122
32700000000	31772
32800000000	31963
32900000000	31940
33000000000	32110
33100000000	32153
33200000000	31937
33300000000	32038
33400000000	32108
33500000000	31840
33600000000	31848
33700000000	31980
33800000000	32293
33900000000	32240
34000000000	31886
34100000000	31886
34200000000	32197
34300000000	32236
34400000000	31891
34500000000	32095
34600000000	32028
34700000000	31845
34800000000	32270
34900000000	32259
35000000000	32291
35100000000	32149
35200000000	31731
35300000000	32040
35400000000	32400
35500000000	31908
35600000000	32067
35700000000	31895
35800000000	31961
35900000000	32310
36000000000	31886
36100000000	32142
36200000000	32147
36300000000	32267
36400000000	32014
36500000000	31763
36600000000	32007
36700000000	32110
36800000000	32436
36900000000	32035
37000000000	32093
37100000000	32385
37200000000	31937
37300000000	32096
37400000000	32638
37500000000	32048
37600000000	32265
37700000000	32178
37800000000	32110
37900000000	31999
38000000000	32266
38100000000	32145
38200000000	32201
38300000000	31840
38400000000	32116
38500000000	31973
38600000000	32046
38700000000	32137
38800000000	31949
38900000000	32119
39000000000	32076
39100000000	32166
39200000000	32039
39300000000	32222
39400000000	31913
39500000000	31993
39600000000	32101
39700000000	32279
39800000000	31732
39900000000	31950
40000000000	32015
40100000000	31795
40200000000	31922
40300000000	32151
40400000000	32111
40500000000	32114
40600000000	31949
40700000000	31969
40800000000	31964
40900000000	32145
41000000000	31928
41100000000	31820
41200000000	32179
41300000000	32403
41400000000	31968
41500000000	32137
41600000000	31882
41700000000	32229
41800000000	32262
41900000000	32044
42000000000	32164
42100000000	32044
42200000000	32289
42300000000	32256
42400000000	31853
42500000000	32016
42600000000	32006
42700000000	32092
42800000000	31768
42900000000	32031
43000000000	32212
43100000000	31990
43200000000	32378
43300000000	31991
43400000000	31946
43500000000	31917
43600000000	31767
43700000000	31941
43800000000	32109
43900000000	32074
44000000000	31743
44100000000	31852
44200000000	31956
44300000000	31889
44400000000	32372
44500000000	31834
44600000000	32246
44700000000	32197
44800000000	32545
44900000000	32202
45000000000	32087
45100000000	32062
45200000000	32034
45300000000	32190
45400000000	31955
45500000000	32266
45600000000	31776
45700000000	32126
45800000000	31912
45900000000	31918
46000000000	32228
46100000000	32165
46200000000	31799
46300000000	32327
46400000000	32009
46500000000	31935
46600000000	31805
46700000000	31958
46800000000	32149
46900000000	32385
47000000000	31971
47100000000	32098
47200000000	32001
47300000000	31883
47400000000	32186
47500000000	31851
47600000000	32021
47700000000	32210
47800000000	31818
47900000000	31880
48000000000	31897
48100000000	31946
48200000000	32406
48300000000	32277
48400000000	31642
48500000000	32110
48600000000	32077
48700000000	31615
48800000000	31919
48900000000	31833
49000000000	31826
49100000000	31899
49200000000	32179
49300000000	32143
49400000000	31904
49500000000	32199
49600000000	32559
49700000000	32054
49800000000	32061
49900000000	32431
50000000000	32468
50100000000	32127
50200000000	32063
50300000000	32422
50400000000	31979
50500000000	31973
50600000000	31816
50700000000	32260
50800000000	32166
50900000000	32215
51000000000	31992
51100000000	31973
51200000000	32113
51300000000	32449
51400000000	31896
51500000000	31835
51600000000	32218
51700000000	32133
51800000000	31602
51900000000	32261
52000000000	32016
52100000000	32030
52200000000	31824
52300000000	31727
52400000000	32105
52500000000	31938
52600000000	32267
52700000000	32135
52800000000	32246
52900000000	31764
53000000000	32041
53100000000	32168
53200000000	31893
53300000000	32078
53400000000	31958
53500000000	32029
53600000000	31877
53700000000	31806
53800000000	31902
53900000000	31888
54000000000	31756
54100000000	31896
54200000000	31761
54300000000	32080
54400000000	31919
54500000000	31712
54600000000	31682
54700000000	32127
54800000000	32201
54900000000	31958
55000000000	32068
55100000000	32357
55200000000	31904
55300000000	32262
55400000000	31678
55500000000	32271
55600000000	32083
55700000000	32317
55800000000	31883
55900000000	32177
56000000000	32387
56100000000	32213
56200000000	32099
56300000000	31730
56400000000	31933
56500000000	32018
56600000000	31961
56700000000	32194
56800000000	32192
56900000000	32059
57000000000	32065
57100000000	31930
57200000000	31937
57300000000	32184
57400000000	32021
57500000000	31792
57600000000	31833
57700000000	32210
57800000000	32086
57900000000	31959
58000000000	32167
58100000000	31984
58200000000	32117
58300000000	32151
58400000000	31885
58500000000	31880
58600000000	31818
58700000000	32201
58800000000	32039
58900000000	32277
59000000000	31851
59100000000	32065
59200000000	32184
59300000000	32258
59400000000	31876
59500000000	32265
59600000000	32118
59700000000	32153
59800000000	32226
59900000000	32074
60000000000	32267
60100000000	32146
60200000000	32042
60300000000	31868
60400000000	31911
60500000000	32205
60600000000	31820
60700000000	32197
60800000000	31902
60900000000	31878
61000000000	31850
61100000000	32250
61200000000	31859
61300000000	31852
61400000000	31989
61500000000	31752
61600000000	31847
61700000000	31672
61800000000	32041
61900000000	31975
62000000000	32022
62100000000	31989
62200000000	31939
62300000000	31913
62400000000	32241
62500000000	31795
62600000000	32085
62700000000	31715
62800000000	32129
62900000000	31910
63000000000	31971
63100000000	32178
63200000000	31701
63300000000	32342
63400000000	31886
63500000000	32196
63600000000	32273
63700000000	31896
63800000000	31861
63900000000	32378
64000000000	32077
64100000000	32184
64200000000	31711
64300000000	32070
64400000000	31640
64500000000	31970
64600000000	32334
64700000000	31663
64800000000	31878
64900000000	32160
65000000000	32030
65100000000	32098
65200000000	32194
65300000000	31946
65400000000	32177
65500000000	31895
65600000000	31828
65700000000	31952
65800000000	32072
65900000000	31973
66000000000	31947
66100000000	32080
66200000000	32492
66300000000	31981
66400000000	32224
66500000000	32206
66600000000	31776
66700000000	32078
66800000000	32108
66900000000	32048
67000000000	32038
67100000000	32330
67200000000	32098
67300000000	32173
67400000000	31999
67500000000	32147
67600000000	32235
67700000000	32151
67800000000	32247
67900000000	32032
68000000000	32357
68100000000	32052
68200000000	32053
68300000000	31762
68400000000	32054
68500000000	32071
68600000000	31946
68700000000	31912
68800000000	31895
68900000000	31954
69000000000	32180
69100000000	31755
69200000000	32077
69300000000	32080
69400000000	32042
69500000000	32082
69600000000	31664
69700000000	32071
69800000000	31720
69900000000	31863
70000000000	32359
70100000000	32335
70200000000	31931
70300000000	31860
70400000000	32333
70500000000	32058
70600000000	31799
70700000000	32073
70800000000	32091
70900000000	31796
71000000000	32027
71100000000	32144
71200000000	32276
71300000000	32363
71400000000	31882
71500000000	31906
71600000000	32060
71700000000	32303
71800000000	32406
71900000000	32153
72000000000	32026
72100000000	32387
72200000000	32470
72300000000	32257
72400000000	31833
72500000000	31618
72600000000	31872
72700000000	32208
72800000000	32095
72900000000	31753
73000000000	31531
73100000000	32043
73200000000	32013
73300000000	32023
73400000000	32049
73500000000	32005
73600000000	32040
73700000000	31681
73800000000	32016
73900000000	32172
74000000000	32100
74100000000	31816
74200000000	32130
74300000000	32119
74400000000	31722
74500000000	32303
74600000000	31853
74700000000	32023
74800000000	31752
74900000000	31860
75000000000	32200
75100000000	32247
75200000000	31992
75300000000	32204
75400000000	32144
75500000000	31830
75600000000	31954
75700000000	31889
75800000000	31961
75900000000	32149
76000000000	31894
76100000000	32097
76200000000	32306
76300000000	32138
76400000000	32062
76500000000	32268
76600000000	32056
76700000000	31630
76800000000	31980
76900000000	31815
77000000000	32270
77100000000	32040
77200000000	32203
77300000000	32102
77400000000	31931
77500000000	31938
77600000000	32074
77700000000	32049
77800000000	32003
77900000000	32339
78000000000	32008
78100000000	31993
78200000000	32143
78300000000	32398
78400000000	31945
78500000000	32016
78600000000	32084
78700000000	31557
78800000000	31919
78900000000	32066
79000000000	31877
79100000000	31974
79200000000	32031
79300000000	32197
79400000000	32114
79500000000	32366
79600000000	32437
79700000000	31828
79800000000	32035
79900000000	31986
80000000000	31822
80100000000	32098
80200000000	32088
80300000000	32144
80400000000	32138
80500000000	32562
80600000000	31934
80700000000	32062
80800000000	32289
80900000000	32126
81000000000	31997
81100000000	32152
81200000000	31988
81300000000	32256
81400000000	32007
81500000000	32083
81600000000	32296
81700000000	31984
81800000000	31881
81900000000	32424
82000000000	31757
82100000000	32028
82200000000	32000
82300000000	32166
82400000000	31744
82500000000	31983
82600000000	32118
82700000000	31766
82800000000	31994
82900000000	31909
83000000000	32062
83100000000	32214
83200000000	31893
83300000000	31966
83400000000	32158
83500000000	31857
83600000000	31754
83700000000	32011
83800000000	32261
83900000000	32228
84000000000	31830
84100000000	31883
84200000000	32169
84300000000	32288
84400000000	31857
84500000000	32105
84600000000	32019
84700000000	31775
84800000000	32281
84900000000	32277
85000000000	32244
85100000000	32140
85200000000	31783
85300000000	31987
85400000000	32349
85500000000	31877
85600000000	32063
85700000000	31912
85800000000	31914
85900000000	32301
86000000000	31915
86100000000	32115
86200000000	32164
86300000000	32247
86400000000	32000
86500000000	31807
86600000000	31918
86700000000	32075
86800000000	32510
86900000000	32019
87000000000	32080
87100000000	32321
87200000000	31980
87300000000	32051
87400000000	32602
87500000000	32015
87600000000	32254
87700000000	32180
87800000000	32134
87900000000	31996
88000000000	32248
88100000000	32106
88200000000	32251
88300000000	31773
88400000000	32090
88500000000	31943
88600000000	32064
88700000000	32060
88800000000	31974
88900000000	32095
89000000000	32084
89100000000	32176
89200000000	31993
89300000000	32200
89400000000	31926
89500000000	31991
89600000000	32046
89700000000	32307
89800000000	31685
89900000000	31972
90000000000	31984
90100000000	31811
90200000000	31901
90300000000	32114
90400000000	32098
90500000000	32080
90600000000	31957
90700000000	32006
90800000000	31919
90900000000	32091
91000000000	31946
91100000000	31818
91200000000	32194
91300000000	32348
91400000000	31985
91500000000	32084
91600000000	31898
91700000000	32210
91800000000	32208
91900000000	32043
92000000000	32177
92100000000	32028
92200000000	32217
92300000000	32280
92400000000	31894
92500000000	31921
92600000000	32007
92700000000	32122
92800000000	31682
92900000000	32065
93000000000	32187
93100000000	32012
93200000000	32354
93300000000	31991
93400000000	31891
93500000000	31949
93600000000	31790
93700000000	31860
93800000000	32153
93900000000	32057
94000000000	31718
94100000000	31813
94200000000	31904
94300000000	31914
94400000000	32405
94500000000	31756
94600000000	32227
94700000000	32207
94800000000	32540
94900000000	32180
95000000000	32099
95100000000	31990
95200000000	32059
95300000000	32216
95400000000	31877
95500000000	32336
95600000000	31672
95700000000	32139
95800000000	31913
95900000000	31875
96000000000	32180
96100000000	32203
96200000000	31817
96300000000	32264
96400000000	31960
96500000000	31989
96600000000	31754
96700000000	31916
96800000000	32225
96900000000	32289
97000000000	32055
97100000000	32014
97200000000	31987
97300000000	31883
97400000000	32176
97500000000	31845
97600000000	31970
97700000000	32264
97800000000	31779
97900000000	31866
98000000000	31900
98100000000	31962
98200000000	32338
98300000000	32259
98400000000	31678
98500000000	32059
98600000000	32132
98700000000	31551
98800000000	31886
98900000000	31897
99000000000	31807
99100000000	31843
99200000000	32200
99300000000	32139
99400000000	31834
99500000000	32161
99600000000	32615
99700000000	32023
99800000000	32042
99900000000	32425
