"Time (ps)"	"Counts per bin"
0	98336
100000000	99467
200000000	100264
300000000	100232
400000000	100006
500000000	100727
600000000	99759
700000000	100078
800000000	99822
900000000	99964
1000000000	100012
1100000000	99682
1200000000	100123
1300000000	99474
1400000000	99427
1500000000	99990
1600000000	99198
1700000000	99429
1800000000	99792
1900000000	99634
2000000000	100090
2100000000	99996
2200000000	100401
2300000000	100166
2400000000	100766
2500000000	100061
2600000000	100543
2700000000	100162
2800000000	99708
2900000000	100215
3000000000	100408
3100000000	99748
3200000000	99450
3300000000	100310
3400000000	100294
3500000000	100077
3600000000	100478
3700000000	99979
3800000000	100523
3900000000	100336
4000000000	100398
4100000000	99777
4200000000	100402
4300000000	99880
4400000000	99968
4500000000	100152
4600000000	99608
4700000000	100013
4800000000	99314
4900000000	99608
5000000000	100048
5100000000	99758
5200000000	99769
5300000000	99528
5400000000	99980
5500000000	99638
5600000000	99284
5700000000	100159
5800000000	99582
5900000000	99773
6000000000	99698
6100000000	100469
6200000000	100105
6300000000	99743
6400000000	100286
6500000000	100114
6600000000	100199
6700000000	100623
6800000000	100348
6900000000	99589
7000000000	100688
7100000000	100239
7200000000	100348
7300000000	99563
7400000000	100080
7500000000	99676
7600000000	100289
7700000000	99703
7800000000	99434
7900000000	100419
8000000000	100113
8100000000	99852
8200000000	99598
8300000000	99439
8400000000	99663
8500000000	99741
8600000000	99771
8700000000	100373
8800000000	99892
8900000000	100231
9000000000	99698
9100000000	99854
9200000000	99713
9300000000	99856
9400000000	99874
9500000000	100225
9600000000	100024
9700000000	100137
9800000000	100096
9900000000	100115
10000000000	99852
10100000000	100276
10200000000	99720
10300000000	100317
10400000000	100368
10500000000	100700
10600000000	100162
10700000000	100621
10800000000	100365
10900000000	100010
11000000000	99946
11100000000	99427
11200000000	100445
11300000000	100136
11400000000	100414
11500000000	99846
11600000000	100615
11700000000	99633
11800000000	99985
11900000000	99855
12000000000	99761
12100000000	99412
12200000000	100007
12300000000	99409
12400000000	100627
12500000000	99440
12600000000	99686
12700000000	99466
12800000000	100030
12900000000	100267
13000000000	99464
13100000000	99970
13200000000	100198
13300000000	99680
13400000000	99535
13500000000	100081
13600000000	99605
13700000000	99899
13800000000	99496
13900000000	100943
14000000000	100293
14100000000	100134
14200000000	100139
14300000000	100821
14400000000	100204
14500000000	99922
14600000000	100214
14700000000	100349
14800000000	99652
14900000000	100096
15000000000	100213
15100000000	99604
15200000000	100514
15300000000	99977
15400000000	99992
15500000000	99851
15600000000	99526
15700000000	99748
15800000000	100012
15900000000	99706
16000000000	100066
16100000000	99985
16200000000	99821
16300000000	100075
16400000000	100326
16500000000	99685
16600000000	99830
16700000000	99664
16800000000	100083
16900000000	100349
17000000000	100131
17100000000	100757
17200000000	100051
17300000000	100191
17400000000	100215
17500000000	100769
17600000000	100049
17700000000	100114
17800000000	100638
17900000000	100225
18000000000	101078
18100000000	100163
18200000000	99759
18300000000	100027
18400000000	100444
18500000000	100252
18600000000	100106
18700000000	100001
18800000000	100149
18900000000	100191
19000000000	99576
19100000000	99898
19200000000	100172
19300000000	99848
19400000000	99623
19500000000	99808
19600000000	99128
19700000000	99464
19800000000	99877
19900000000	99727
20000000000	99998
20100000000	100093
20200000000	100078
20300000000	99866
20400000000	100130
20500000000	100029
20600000000	99737
20700000000	100207
20800000000	100048
20900000000	100726
21000000000	100343
21100000000	100441
21200000000	100637
21300000000	100504
21400000000	100064
21500000000	100592
21600000000	99805
21700000000	100200
21800000000	99840
21900000000	100170
22000000000	100078
22100000000	100046
22200000000	99812
22300000000	99829
22400000000	99576
22500000000	100018
22600000000	99794
22700000000	100335
22800000000	99370
22900000000	99713
23000000000	99679
23100000000	99194
23200000000	100009
23300000000	99744
23400000000	99697
23500000000	99686
23600000000	100021
23700000000	100303
23800000000	99993
23900000000	100309
24000000000	99772
24100000000	100335
24200000000	100333
24300000000	100415
24400000000	100398
24500000000	100136
24600000000	100131
24700000000	99593
24800000000	100543
24900000000	100290
25000000000	99974
25100000000	98398
25200000000	97595
25300000000	96984
25400000000	97126
25500000000	96552
25600000000	96279
25700000000	96584
25800000000	96156
25900000000	96435
26000000000	95945
26100000000	96102
26200000000	96687
26300000000	96041
26400000000	96547
26500000000	96164
26600000000	95786
26700000000	95724
26800000000	95937
26900000000	96011
27000000000	95995
27100000000	96202
27200000000	96305
27300000000	96164
27400000000	96496
27500000000	96496
27600000000	96460
27700000000	96388
27800000000	96866
27900000000	95969
28000000000	96478
28100000000	96956
28200000000	96142
28300000000	96670
28400000000	96674
28500000000	96327
28600000000	96501
28700000000	96192
28800000000	96262
28900000000	96151
29000000000	96293
29100000000	95652
29200000000	96410
29300000000	95812
29400000000	96267
29500000000	96531
29600000000	95854
29700000000	96303
29800000000	95971
29900000000	95985
30000000000	95894
30100000000	95822
30200000000	95732
30300000000	96128
30400000000	96020
30500000000	96090
30600000000	95672
30700000000	96562
30800000000	96472
30900000000	96305
31000000000	96561
31100000000	96054
31200000000	96681
31300000000	96288
31400000000	96305
31500000000	96182
31600000000	97031
31700000000	96886
31800000000	97028
31900000000	96572
32000000000	96620
32100000000	96331
32200000000	96872
32300000000	97180
32400000000	97034
32500000000	96932
32600000000	96556
32700000000	96294
32800000000	96781
32900000000	96547
33000000000	95723
33100000000	96225
33200000000	96650
33300000000	96661
33400000000	96116
33500000000	95790
33600000000	96137
33700000000	95968
33800000000	95988
33900000000	96130
34000000000	96086
34100000000	95788
34200000000	96420
34300000000	96882
34400000000	96272
34500000000	96875
34600000000	96757
34700000000	96010
34800000000	96431
34900000000	96915
35000000000	96613
35100000000	97146
35200000000	96748
35300000000	96838
35400000000	96703
35500000000	96650
35600000000	96955
35700000000	96773
35800000000	97035
35900000000	96554
36000000000	96810
36100000000	96613
36200000000	96059
36300000000	96139
36400000000	96544
36500000000	96598
36600000000	96770
36700000000	96670
36800000000	96374
36900000000	96836
37000000000	96515
37100000000	96737
37200000000	95957
37300000000	96706
