"Time (ps)"	"Counts per bin"
0	49213
100000000	49225
200000000	49634
300000000	49648
400000000	49811
500000000	50077
600000000	50062
700000000	50249
800000000	49886
900000000	50045
1000000000	50072
1100000000	49813
1200000000	50035
1300000000	49930
1400000000	50101
1500000000	49986
1600000000	49752
1700000000	49694
1800000000	49774
1900000000	50633
2000000000	50280
2100000000	49848
2200000000	49987
2300000000	49675
2400000000	50012
2500000000	50072
2600000000	49378
2700000000	49605
2800000000	50289
2900000000	50337
3000000000	50184
3100000000	50259
3200000000	49949
3300000000	50173
3400000000	50414
3500000000	50118
3600000000	50004
3700000000	49887
3800000000	50194
3900000000	49710
4000000000	49671
4100000000	49443
4200000000	49734
4300000000	50022
4400000000	49912
4500000000	50401
4600000000	49772
4700000000	50079
4800000000	49567
4900000000	49781
5000000000	49919
5100000000	50816
5200000000	50171
5300000000	50108
5400000000	49956
5500000000	49533
5600000000	49740
5700000000	50002
5800000000	50112
5900000000	50158
6000000000	50299
6100000000	49406
6200000000	49921
6300000000	50306
6400000000	49754
6500000000	49876
6600000000	50179
6700000000	50149
6800000000	50277
6900000000	50039
7000000000	50528
7100000000	49894
7200000000	50230
7300000000	49691
7400000000	50202
7500000000	50122
7600000000	49723
7700000000	49980
7800000000	49843
7900000000	50487
8000000000	49749
8100000000	50656
8200000000	50091
8300000000	50192
8400000000	50104
8500000000	50155
8600000000	50132
8700000000	50270
8800000000	49967
8900000000	50137
9000000000	50015
9100000000	49579
9200000000	50691
9300000000	49882
9400000000	50486
9500000000	49716
9600000000	49848
9700000000	49977
9800000000	50150
9900000000	50032
10000000000	49922
10100000000	49886
10200000000	50267
10300000000	50055
10400000000	50180
10500000000	50218
10600000000	49895
10700000000	50564
10800000000	50624
10900000000	50111
11000000000	50385
11100000000	50095
11200000000	50131
11300000000	50177
11400000000	50463
11500000000	50311
11600000000	49860
11700000000	50543
11800000000	50128
11900000000	50235
12000000000	50107
12100000000	50157
12200000000	50116
12300000000	50097
12400000000	50105
12500000000	49820
12600000000	50015
12700000000	50124
12800000000	50245
12900000000	49610
13000000000	50084
13100000000	49947
13200000000	49876
13300000000	49897
13400000000	50109
13500000000	50076
13600000000	50189
13700000000	50227
13800000000	49909
13900000000	50057
14000000000	49950
14100000000	50319
14200000000	49942
14300000000	50032
14400000000	50337
14500000000	50107
14600000000	49679
14700000000	49974
14800000000	50022
14900000000	49530
15000000000	49674
15100000000	49602
15200000000	50317
15300000000	50051
15400000000	50260
15500000000	49582
15600000000	50695
15700000000	50192
15800000000	49884
15900000000	49628
16000000000	49777
16100000000	49786
16200000000	49752
16300000000	50100
16400000000	49669
16500000000	50119
16600000000	49668
16700000000	50188
16800000000	50083
16900000000	49628
17000000000	50091
17100000000	50222
17200000000	50105
17300000000	50129
17400000000	49395
17500000000	49759
17600000000	49904
17700000000	50158
17800000000	49934
17900000000	49629
18000000000	50102
18100000000	50210
18200000000	49615
18300000000	49519
18400000000	49869
18500000000	50003
18600000000	49702
18700000000	50291
18800000000	49797
18900000000	50156
19000000000	49721
19100000000	49862
19200000000	50056
19300000000	49938
19400000000	50155
19500000000	49790
19600000000	49815
19700000000	49602
19800000000	49832
19900000000	50223
20000000000	49691
20100000000	49635
20200000000	49921
20300000000	50017
20400000000	49958
20500000000	50113
20600000000	50019
20700000000	49634
20800000000	50038
20900000000	50088
21000000000	49664
21100000000	50171
21200000000	50467
21300000000	50272
