Filename,Temperature,I_504/I_523,I_504/I_528,I_504/I_542,I_504/I_555,I_504/I_661,I_523/I_528,I_523/I_542,I_523/I_555,I_523/I_661,I_528/I_542,I_528/I_555,I_528/I_661,I_542/I_555,I_542/I_661,I_555/I_661
975_275mW source_NaBiF4_0.1sec_25 degree.txt,25.0,0.0,0.0,0.0,0.0,0.0,0.184,0.018,0.017,0.002,0.099,0.091,0.01,0.92,0.1,0.108
975_275mW source_NaBiF4_0.1sec_30.4 degree.txt,30.4,0.0,0.0,0.0,0.0,0.0,0.393,0.129,0.124,0.012,0.328,0.317,0.03,0.965,0.091,0.094
975_275mW source_NaBiF4_0.1sec_30.4 degree_1.txt,30.4,0.0,0.0,0.0,0.0,0.0,0.754,0.207,0.188,0.018,0.274,0.249,0.023,0.906,0.085,0.094
975_275mW source_NaBiF4_0.1sec_30.4 degree_2.txt,30.4,0.0,0.0,0.0,0.0,0.0,0.644,0.184,0.178,0.016,0.285,0.277,0.025,0.97,0.088,0.09
975_275mW source_NaBiF4_0.1sec_33.5 degree.txt,33.5,0.0,0.0,0.0,0.0,0.0,0.79,0.211,0.196,0.018,0.267,0.249,0.023,0.932,0.088,0.094
975_275mW source_NaBiF4_0.1sec_33.5 degree_1.txt,33.5,0.0,0.0,0.0,0.0,0.0,0.687,0.209,0.183,0.018,0.304,0.267,0.026,0.878,0.087,0.099
975_275mW source_NaBiF4_0.1sec_33.5 degree_2.txt,33.5,0.0,0.0,0.0,0.0,0.0,0.45,0.148,0.128,0.012,0.328,0.285,0.027,0.867,0.082,0.094
975_275mW source_NaBiF4_0.1sec_39.5 degree.txt,39.5,0.0,0.0,0.0,0.0,0.0,0.314,0.048,0.045,0.005,0.153,0.145,0.015,0.944,0.1,0.106
975_275mW source_NaBiF4_0.1sec_39.5 degree_1.txt,39.5,0.0,0.0,0.0,0.0,0.0,0.15,0.018,0.017,0.002,0.123,0.116,0.013,0.942,0.104,0.11
975_275mW source_NaBiF4_0.1sec_39.5 degree_2.txt,39.5,,0.537,0.023,0.022,0.002,0.0,0.0,0.0,0.0,0.043,0.041,0.004,0.961,0.1,0.104
975_275mW source_NaBiF4_0.1sec_45 degree.txt,45.0,,0.414,0.028,0.031,0.005,0.0,0.0,0.0,0.0,0.068,0.075,0.011,1.109,0.167,0.151
975_275mW source_NaBiF4_0.1sec_45 degree_1.txt,45.0,0.0,0.0,0.0,0.0,0.0,0.967,0.092,0.093,0.015,0.095,0.097,0.016,1.011,0.164,0.162
975_275mW source_NaBiF4_0.1sec_45 degree_2.txt,45.0,0.0,0.0,0.0,0.0,0.0,0.478,0.031,0.032,0.005,0.065,0.067,0.01,1.017,0.16,0.157
