"Time (ps)"	"Counts per bin"
0	98568
100000000	99135
200000000	99993
300000000	99270
400000000	100083
500000000	100168
600000000	99755
700000000	99837
800000000	100344
900000000	99940
1000000000	100249
1100000000	100303
1200000000	100130
1300000000	100000
1400000000	100105
1500000000	100358
1600000000	100219
1700000000	100402
1800000000	100421
1900000000	100255
2000000000	99999
2100000000	100531
2200000000	100116
2300000000	100727
2400000000	99985
2500000000	100168
2600000000	99957
2700000000	100092
2800000000	100222
2900000000	100008
3000000000	100020
3100000000	99932
3200000000	99822
3300000000	100043
3400000000	99619
3500000000	99657
3600000000	100180
3700000000	100072
3800000000	100061
3900000000	100074
4000000000	100520
4100000000	100216
4200000000	100363
4300000000	99637
4400000000	100187
4500000000	100187
4600000000	100136
4700000000	100485
4800000000	99908
4900000000	99621
5000000000	99809
5100000000	99597
5200000000	99262
5300000000	100403
5400000000	100047
5500000000	99064
5600000000	99822
5700000000	99705
5800000000	101045
5900000000	99856
6000000000	100537
6100000000	100305
6200000000	100317
6300000000	100035
6400000000	99838
6500000000	100190
6600000000	99971
6700000000	99965
6800000000	99686
6900000000	99615
7000000000	99923
7100000000	99543
7200000000	100377
7300000000	99840
7400000000	99890
7500000000	99905
7600000000	100065
7700000000	99973
7800000000	99628
7900000000	99170
8000000000	99905
8100000000	99925
8200000000	99388
8300000000	100367
8400000000	99966
8500000000	100031
8600000000	99939
8700000000	99454
8800000000	100172
8900000000	100105
9000000000	99763
9100000000	100593
9200000000	99872
9300000000	99928
9400000000	100621
9500000000	99643
9600000000	100025
9700000000	99429
9800000000	99947
9900000000	100213
10000000000	99879
10100000000	99831
10200000000	100303
10300000000	99737
10400000000	100887
10500000000	99273
10600000000	99738
10700000000	99801
10800000000	100085
10900000000	100078
11000000000	99661
11100000000	100374
11200000000	100357
11300000000	100345
11400000000	100404
11500000000	100668
11600000000	100105
11700000000	100369
11800000000	100199
11900000000	99652
12000000000	99736
12100000000	99314
12200000000	100335
12300000000	100032
12400000000	99590
12500000000	100336
12600000000	99594
12700000000	99499
12800000000	99854
12900000000	99948
13000000000	99798
13100000000	100452
13200000000	99815
13300000000	99963
13400000000	100280
13500000000	99584
13600000000	99797
13700000000	100291
13800000000	99804
13900000000	99496
14000000000	100066
14100000000	100002
14200000000	100185
14300000000	100354
14400000000	99471
14500000000	99768
14600000000	100649
14700000000	99726
14800000000	99650
14900000000	100094
15000000000	99322
15100000000	100067
15200000000	100125
15300000000	100163
15400000000	100304
15500000000	100079
15600000000	99988
15700000000	100443
15800000000	100152
15900000000	99855
16000000000	99698
16100000000	100262
16200000000	99371
16300000000	99932
16400000000	100117
16500000000	99809
16600000000	100074
16700000000	100415
16800000000	99945
16900000000	99743
17000000000	100499
17100000000	100085
17200000000	100314
17300000000	99844
17400000000	100215
17500000000	100896
17600000000	99761
17700000000	100015
17800000000	100078
17900000000	99991
18000000000	100414
18100000000	99900
18200000000	99730
18300000000	99858
18400000000	100357
18500000000	99843
18600000000	100144
18700000000	99856
18800000000	99532
18900000000	99503
19000000000	100171
19100000000	99776
19200000000	99731
19300000000	99989
19400000000	100210
19500000000	99957
19600000000	99744
19700000000	99550
19800000000	99732
19900000000	99673
20000000000	99680
20100000000	99300
20200000000	100195
20300000000	99893
20400000000	99431
20500000000	99793
20600000000	100300
20700000000	99585
20800000000	99755
20900000000	100735
21000000000	99584
21100000000	99638
21200000000	99896
21300000000	100017
21400000000	99536
21500000000	100119
21600000000	100438
21700000000	99815
21800000000	99585
21900000000	99397
22000000000	100567
22100000000	99776
22200000000	100400
22300000000	100073
22400000000	99714
22500000000	100389
22600000000	99777
22700000000	99872
22800000000	100007
22900000000	99665
23000000000	99460
23100000000	100249
23200000000	99680
23300000000	99748
23400000000	100024
23500000000	99756
23600000000	99522
23700000000	100129
23800000000	100220
23900000000	99952
24000000000	99720
24100000000	99572
24200000000	99771
24300000000	99801
24400000000	100249
24500000000	99746
24600000000	100104
24700000000	99815
24800000000	99567
24900000000	99776
25000000000	99683
25100000000	99254
25200000000	98773
25300000000	98606
25400000000	99052
25500000000	98814
25600000000	98686
25700000000	98777
25800000000	99155
25900000000	99049
26000000000	98393
26100000000	98980
26200000000	98505
26300000000	98240
26400000000	98231
26500000000	98743
26600000000	98412
26700000000	98252
26800000000	98614
26900000000	98666
27000000000	98156
27100000000	97880
27200000000	97936
27300000000	98579
27400000000	98234
27500000000	98284
27600000000	98204
27700000000	98634
27800000000	98295
27900000000	98042
28000000000	98645
28100000000	98100
28200000000	97852
28300000000	98359
28400000000	97893
28500000000	97576
28600000000	97429
28700000000	97985
28800000000	98413
28900000000	97561
29000000000	97920
29100000000	97297
29200000000	97670
29300000000	97152
29400000000	98846
29500000000	97852
29600000000	98386
29700000000	97906
29800000000	97892
29900000000	97839
30000000000	97675
30100000000	98024
30200000000	97396
30300000000	97782
30400000000	97957
30500000000	97849
30600000000	98272
30700000000	98521
30800000000	97859
30900000000	98043
31000000000	98085
31100000000	98365
31200000000	98628
31300000000	97742
31400000000	98103
31500000000	98349
31600000000	98038
31700000000	97862
31800000000	98528
31900000000	97862
32000000000	98288
32100000000	98554
32200000000	98757
32300000000	97941
32400000000	98252
32500000000	98832
32600000000	97402
32700000000	98702
32800000000	98691
32900000000	98054
33000000000	97854
33100000000	97745
33200000000	98108
33300000000	97913
33400000000	97648
33500000000	98495
33600000000	98821
33700000000	98555
33800000000	97915
33900000000	98125
34000000000	98711
34100000000	97652
34200000000	97782
34300000000	98332
34400000000	97231
34500000000	98125
34600000000	98593
34700000000	97688
34800000000	98180
34900000000	97759
35000000000	98517
35100000000	98497
35200000000	98329
35300000000	97839
35400000000	98202
35500000000	98055
35600000000	98305
35700000000	97952
35800000000	97939
35900000000	98322
36000000000	97692
36100000000	97646
36200000000	97997
36300000000	97398
36400000000	98148
36500000000	98253
36600000000	98341
36700000000	97251
36800000000	98232
36900000000	97587
37000000000	97935
37100000000	97817
37200000000	97913
37300000000	98380
37400000000	98292
37500000000	97884
37600000000	98481
37700000000	98587
37800000000	97591
37900000000	98340
38000000000	97628
38100000000	98187
38200000000	97703
38300000000	97274
38400000000	98147
38500000000	97720
38600000000	97818
38700000000	97547
38800000000	98477
38900000000	97826
39000000000	97508
39100000000	97042
39200000000	98146
39300000000	98024
39400000000	97916
39500000000	98330
39600000000	98081
39700000000	97831
39800000000	98003
39900000000	98258
40000000000	98238
40100000000	98263
40200000000	98127
40300000000	97546
40400000000	98558
40500000000	97892
40600000000	98296
40700000000	98511
40800000000	97947
40900000000	98227
41000000000	97695
41100000000	98076
41200000000	98746
41300000000	97738
41400000000	97875
41500000000	97805
41600000000	98528
41700000000	97896
41800000000	98059
41900000000	98259
42000000000	98789
42100000000	98512
42200000000	97751
42300000000	97850
42400000000	98299
42500000000	97838
42600000000	97994
42700000000	98190
42800000000	97930
42900000000	98761
