"Time (ps)"	"Counts per bin"
0	14882
100000000	14841
200000000	14770
300000000	14576
400000000	14557
500000000	14648
600000000	14463
700000000	14229
800000000	14459
900000000	14719
1000000000	14446
1100000000	14398
1200000000	14356
1300000000	14266
1400000000	14575
1500000000	14438
1600000000	14455
1700000000	14642
1800000000	14417
1900000000	14284
2000000000	14559
2100000000	14612
2200000000	14416
2300000000	14635
2400000000	14417
2500000000	14452
2600000000	14530
2700000000	14409
2800000000	14462
2900000000	14729
3000000000	14473
3100000000	14626
3200000000	14488
3300000000	14526
3400000000	14459
3500000000	14789
3600000000	14265
3700000000	14385
3800000000	14867
3900000000	14482
4000000000	14608
4100000000	14510
4200000000	14529
4300000000	14353
4400000000	14592
4500000000	14478
4600000000	14492
4700000000	14652
4800000000	14626
4900000000	14692
5000000000	14237
5100000000	14662
5200000000	14538
5300000000	14593
5400000000	14454
5500000000	14460
5600000000	14748
5700000000	14594
5800000000	14555
5900000000	14594
6000000000	14778
6100000000	14611
6200000000	14665
6300000000	14514
6400000000	14472
6500000000	14683
6600000000	14640
6700000000	14467
6800000000	14603
6900000000	14342
7000000000	14628
7100000000	14514
7200000000	14784
7300000000	14647
7400000000	14392
7500000000	14629
7600000000	14400
7700000000	14908
7800000000	14649
7900000000	14608
8000000000	14792
8100000000	14584
8200000000	14664
8300000000	14598
8400000000	14693
8500000000	14627
8600000000	14491
8700000000	14567
8800000000	14293
8900000000	14721
9000000000	14775
9100000000	14592
9200000000	14401
9300000000	14602
9400000000	14652
9500000000	14600
9600000000	14503
9700000000	14583
9800000000	14896
9900000000	14776
10000000000	14480
10100000000	14596
10200000000	14770
10300000000	14569
10400000000	14813
10500000000	14576
10600000000	14603
10700000000	14574
10800000000	14523
10900000000	14540
11000000000	14571
11100000000	14774
11200000000	14839
11300000000	14626
11400000000	14528
11500000000	14672
11600000000	14598
11700000000	14617
11800000000	14700
11900000000	14771
12000000000	14647
12100000000	14551
12200000000	14844
12300000000	14470
12400000000	14700
12500000000	14529
12600000000	14724
12700000000	14662
12800000000	14380
12900000000	14651
13000000000	14804
13100000000	14840
13200000000	14694
13300000000	14684
13400000000	14559
13500000000	14532
13600000000	14646
13700000000	14359
13800000000	14769
13900000000	14400
14000000000	14680
14100000000	14853
14200000000	14739
14300000000	14607
14400000000	14513
14500000000	14722
14600000000	14520
14700000000	14815
14800000000	14578
14900000000	14468
15000000000	14680
15100000000	14430
15200000000	14429
15300000000	14881
15400000000	14575
15500000000	14625
15600000000	14716
15700000000	14747
15800000000	14595
15900000000	14608
16000000000	14710
16100000000	14739
16200000000	14712
16300000000	14558
16400000000	14544
16500000000	14598
16600000000	14623
16700000000	14588
16800000000	14593
16900000000	14610
17000000000	14468
17100000000	14833
17200000000	14597
17300000000	14596
17400000000	14455
17500000000	14563
17600000000	14735
17700000000	14649
17800000000	14478
17900000000	14667
18000000000	14588
18100000000	14503
18200000000	14641
18300000000	14554
18400000000	14867
18500000000	14832
18600000000	14721
18700000000	14785
18800000000	14613
18900000000	14864
19000000000	14532
19100000000	14701
19200000000	14794
19300000000	14812
19400000000	14514
19500000000	14766
19600000000	14527
19700000000	14497
19800000000	14677
19900000000	14826
20000000000	14584
20100000000	14409
20200000000	14774
20300000000	14575
20400000000	14561
20500000000	14495
20600000000	14471
20700000000	14841
20800000000	14687
20900000000	14565
21000000000	14694
21100000000	14755
21200000000	14511
21300000000	14582
21400000000	14821
21500000000	14578
21600000000	14852
21700000000	14741
21800000000	14896
21900000000	14734
22000000000	14531
22100000000	14718
22200000000	14557
22300000000	14798
22400000000	14587
22500000000	14745
22600000000	14731
22700000000	14600
22800000000	14564
22900000000	14879
23000000000	14917
23100000000	14630
