"Time (ps)"	"Counts per bin"
0	48881
100000000	49704
200000000	49675
300000000	49709
400000000	50180
500000000	50189
600000000	50234
700000000	50076
800000000	50567
900000000	49777
1000000000	50334
1100000000	50051
1200000000	50164
1300000000	50051
1400000000	50162
1500000000	50037
1600000000	49738
1700000000	50222
1800000000	49916
1900000000	50090
2000000000	50221
2100000000	49778
2200000000	50369
2300000000	50039
2400000000	49855
2500000000	50091
2600000000	49909
2700000000	49654
2800000000	49967
2900000000	49849
3000000000	50223
3100000000	49912
3200000000	49568
3300000000	49728
3400000000	50218
3500000000	49893
3600000000	50127
3700000000	50110
3800000000	50254
3900000000	49918
4000000000	50043
4100000000	50334
4200000000	49584
4300000000	49887
4400000000	50315
4500000000	50236
4600000000	50121
4700000000	50256
4800000000	50250
4900000000	50280
5000000000	49892
5100000000	49989
5200000000	49787
5300000000	49902
5400000000	50510
5500000000	50015
5600000000	50435
5700000000	50344
5800000000	49977
5900000000	50300
6000000000	50526
6100000000	50088
6200000000	49990
6300000000	49907
6400000000	50439
6500000000	50223
6600000000	49865
6700000000	50036
6800000000	50122
6900000000	49848
7000000000	49762
7100000000	49943
7200000000	49852
7300000000	49799
7400000000	50701
7500000000	49782
7600000000	50206
7700000000	50625
7800000000	50333
7900000000	49904
8000000000	50099
8100000000	50080
8200000000	50244
8300000000	49777
8400000000	49819
8500000000	50196
8600000000	49893
8700000000	49958
8800000000	50408
8900000000	49790
9000000000	49816
9100000000	49966
9200000000	50058
9300000000	49629
9400000000	50384
9500000000	50706
9600000000	50134
9700000000	50152
9800000000	49662
9900000000	50278
10000000000	50182
10100000000	49918
10200000000	50156
10300000000	49922
10400000000	49674
10500000000	50263
10600000000	49637
10700000000	50075
10800000000	49443
10900000000	50076
11000000000	50151
11100000000	50245
11200000000	49824
11300000000	49756
11400000000	50137
11500000000	50130
11600000000	50177
11700000000	49956
11800000000	50364
11900000000	49912
12000000000	49919
12100000000	50139
12200000000	49952
12300000000	49849
12400000000	49858
12500000000	49936
12600000000	50145
12700000000	50014
12800000000	49634
12900000000	50470
13000000000	50137
13100000000	49654
13200000000	50300
13300000000	49628
13400000000	50164
13500000000	49823
13600000000	50118
13700000000	50300
13800000000	49711
13900000000	49645
14000000000	49735
14100000000	49327
14200000000	49842
14300000000	49697
14400000000	49853
14500000000	50163
14600000000	50146
14700000000	49988
14800000000	50401
14900000000	50110
15000000000	49718
15100000000	49922
15200000000	49810
15300000000	50138
15400000000	50298
15500000000	49914
15600000000	50371
15700000000	49804
15800000000	49977
15900000000	49979
16000000000	49964
16100000000	49891
16200000000	49925
16300000000	49729
16400000000	50018
16500000000	50184
16600000000	49699
16700000000	49819
16800000000	50172
16900000000	50256
17000000000	50011
17100000000	50540
17200000000	49787
17300000000	50173
17400000000	49666
17500000000	50140
17600000000	49774
17700000000	49747
17800000000	50032
17900000000	49989
18000000000	49583
18100000000	50031
18200000000	50181
18300000000	50066
18400000000	50332
18500000000	49792
18600000000	50011
18700000000	49706
18800000000	49897
18900000000	50164
19000000000	49602
19100000000	50063
19200000000	50201
19300000000	50048
19400000000	49844
19500000000	50014
19600000000	49822
19700000000	49783
19800000000	50098
19900000000	50169
20000000000	50297
20100000000	49799
20200000000	49966
20300000000	50078
20400000000	50083
20500000000	49893
20600000000	49694
20700000000	50393
20800000000	50035
20900000000	49635
21000000000	49901
21100000000	50229
21200000000	49672
21300000000	50464
21400000000	50223
21500000000	50177
21600000000	49791
21700000000	50006
21800000000	49936
21900000000	50206
22000000000	50152
22100000000	50096
22200000000	49766
22300000000	49709
22400000000	50224
22500000000	49749
22600000000	50072
22700000000	50327
22800000000	50107
22900000000	50078
23000000000	49800
23100000000	50063
23200000000	49839
23300000000	50226
23400000000	50363
23500000000	50049
23600000000	50342
23700000000	49677
23800000000	50313
23900000000	50011
24000000000	49960
24100000000	50219
24200000000	50236
24300000000	49883
24400000000	50538
24500000000	50106
24600000000	50130
24700000000	49372
24800000000	49850
24900000000	49684
25000000000	50130
25100000000	49172
25200000000	49188
25300000000	48757
25400000000	48485
25500000000	48877
25600000000	48052
25700000000	48619
25800000000	48522
25900000000	48244
26000000000	48349
26100000000	48255
26200000000	48086
26300000000	48657
26400000000	48565
26500000000	48083
26600000000	48549
26700000000	48622
26800000000	48311
26900000000	48383
27000000000	48433
27100000000	48491
27200000000	48301
27300000000	48765
27400000000	48478
27500000000	48579
27600000000	48566
27700000000	48679
27800000000	48621
27900000000	48722
28000000000	48544
28100000000	48422
28200000000	48652
28300000000	48661
28400000000	48442
28500000000	48287
28600000000	48691
28700000000	48627
28800000000	48049
28900000000	48431
29000000000	48758
29100000000	48514
29200000000	48498
29300000000	48868
29400000000	48743
29500000000	48481
29600000000	48748
29700000000	49185
29800000000	48959
29900000000	48633
30000000000	48895
30100000000	48428
30200000000	48246
30300000000	48972
30400000000	48293
30500000000	48666
30600000000	48672
30700000000	48469
30800000000	48290
30900000000	48243
31000000000	48480
31100000000	48643
31200000000	48592
31300000000	48608
31400000000	48497
31500000000	48453
31600000000	48597
31700000000	48437
31800000000	48460
31900000000	48474
32000000000	48270
32100000000	48431
32200000000	48647
32300000000	48445
32400000000	49013
32500000000	48778
32600000000	48515
32700000000	48662
32800000000	48642
32900000000	48311
33000000000	48504
33100000000	48891
33200000000	48370
33300000000	48791
33400000000	49000
33500000000	48570
33600000000	48283
33700000000	49011
33800000000	48299
33900000000	48838
34000000000	48746
34100000000	48553
34200000000	48510
34300000000	48427
34400000000	48631
34500000000	48502
34600000000	48879
34700000000	48545
34800000000	48701
34900000000	48513
35000000000	48959
35100000000	48715
35200000000	48499
35300000000	48980
35400000000	48618
35500000000	49141
35600000000	48295
35700000000	48328
35800000000	48707
35900000000	48646
36000000000	48430
36100000000	48465
36200000000	48904
36300000000	48420
36400000000	49005
36500000000	48642
36600000000	48746
36700000000	48612
36800000000	48753
36900000000	48331
37000000000	48595
37100000000	48386
37200000000	48666
37300000000	48798
37400000000	48460
37500000000	48604
37600000000	48603
37700000000	48115
37800000000	48666
37900000000	48782
38000000000	48883
38100000000	48464
38200000000	48672
38300000000	48732
38400000000	48565
38500000000	48435
38600000000	48457
38700000000	48297
38800000000	48587
38900000000	48692
39000000000	48613
39100000000	48855
39200000000	48426
39300000000	48766
39400000000	48624
39500000000	48897
39600000000	49090
39700000000	48554
39800000000	48416
39900000000	48803
40000000000	48732
40100000000	48840
40200000000	48508
40300000000	48571
40400000000	48421
40500000000	48379
40600000000	48813
40700000000	48692
40800000000	48791
40900000000	49113
41000000000	48613
41100000000	48817
41200000000	48819
41300000000	48853
41400000000	48923
41500000000	49068
41600000000	48783
41700000000	48764
41800000000	49245
41900000000	48907
42000000000	49052
42100000000	48681
42200000000	48954
42300000000	49202
42400000000	49217
42500000000	49050
42600000000	48267
42700000000	49127
42800000000	48698
42900000000	48571
43000000000	48563
43100000000	49390
43200000000	48786
43300000000	48680
43400000000	48554
43500000000	48751
43600000000	48297
43700000000	48920
43800000000	48832
43900000000	49223
44000000000	48597
44100000000	48900
44200000000	48881
44300000000	48855
44400000000	48962
44500000000	48924
44600000000	48928
44700000000	49092
44800000000	49088
44900000000	48917
45000000000	48587
45100000000	48280
45200000000	48703
45300000000	48583
45400000000	49212
45500000000	48806
45600000000	48731
45700000000	48660
45800000000	48480
45900000000	48941
46000000000	48876
46100000000	48563
46200000000	48653
46300000000	48867
46400000000	48671
46500000000	48730
46600000000	49171
46700000000	48825
46800000000	48905
46900000000	48957
47000000000	49054
47100000000	48383
47200000000	48481
47300000000	48589
47400000000	49038
47500000000	48860
47600000000	48649
47700000000	49013
47800000000	48972
47900000000	48689
48000000000	48911
48100000000	48677
48200000000	48658
48300000000	48842
48400000000	48903
48500000000	48674
48600000000	49069
48700000000	49065
48800000000	48556
48900000000	48632
49000000000	48790
49100000000	48560
49200000000	48654
49300000000	49060
49400000000	48952
49500000000	48786
49600000000	48868
49700000000	48681
49800000000	48890
49900000000	49108
50000000000	48896
50100000000	49691
50200000000	49680
50300000000	49655
50400000000	50130
50500000000	50227
50600000000	50206
50700000000	50107
50800000000	50516
50900000000	49814
51000000000	50297
51100000000	50071
51200000000	50111
51300000000	50078
51400000000	50085
51500000000	50053
51600000000	49790
51700000000	50239
51800000000	49905
51900000000	50008
52000000000	50249
52100000000	49745
52200000000	50335
52300000000	50093
52400000000	49832
52500000000	50086
52600000000	49861
52700000000	49737
52800000000	49853
52900000000	49950
53000000000	50158
53100000000	49847
53200000000	49631
53300000000	49651
53400000000	50293
53500000000	49916
53600000000	50037
53700000000	50120
53800000000	50216
53900000000	50002
54000000000	49958
54100000000	50320
54200000000	49572
54300000000	49866
54400000000	50358
54500000000	50213
54600000000	50076
54700000000	50274
54800000000	50243
54900000000	50326
55000000000	49861
55100000000	49963
55200000000	49839
55300000000	49890
55400000000	50460
55500000000	49981
55600000000	50457
55700000000	50328
55800000000	49929
55900000000	50354
56000000000	50462
56100000000	50151
56200000000	49990
56300000000	49888
56400000000	50366
56500000000	50267
56600000000	49882
56700000000	49962
56800000000	50170
56900000000	49857
57000000000	49711
57100000000	49939
57200000000	49830
57300000000	49834
57400000000	50644
57500000000	49808
57600000000	50145
57700000000	50654
57800000000	50357
57900000000	49877
58000000000	50161
58100000000	49985
58200000000	50205
58300000000	49864
58400000000	49731
58500000000	50174
58600000000	49945
58700000000	49909
58800000000	50319
58900000000	49857
59000000000	49816
59100000000	49925
59200000000	50052
59300000000	49690
59400000000	50352
59500000000	50629
59600000000	50174
59700000000	50128
59800000000	49683
59900000000	50364
60000000000	50095
60100000000	49862
60200000000	50262
60300000000	49841
60400000000	49664
60500000000	50258
60600000000	49684
60700000000	49986
60800000000	49404
60900000000	50124
61000000000	50160
61100000000	50309
61200000000	49744
61300000000	49731
61400000000	50073
61500000000	50225
61600000000	50138
61700000000	50012
61800000000	50307
61900000000	49905
62000000000	49929
62100000000	50201
62200000000	49857
62300000000	49808
62400000000	49886
62500000000	49922
62600000000	50096
62700000000	50019
62800000000	49613
62900000000	50469
63000000000	50111
63100000000	49705
63200000000	50276
63300000000	49629
63400000000	50174
63500000000	49821
63600000000	50133
63700000000	50254
63800000000	49643
63900000000	49768
64000000000	49672
64100000000	49320
64200000000	49898
64300000000	49622
64400000000	49874
64500000000	50153
64600000000	50039
64700000000	50046
64800000000	50328
64900000000	50101
65000000000	49772
65100000000	49906
65200000000	49794
65300000000	50142
65400000000	50255
65500000000	50028
65600000000	50296
65700000000	49798
65800000000	49979
65900000000	49972
66000000000	49950
66100000000	49906
66200000000	49912
66300000000	49690
66400000000	50023
66500000000	50160
66600000000	49672
66700000000	49827
66800000000	50027
66900000000	50290
67000000000	50046
67100000000	50533
67200000000	49862
67300000000	50147
67400000000	49647
67500000000	50087
67600000000	49786
67700000000	49797
67800000000	50017
67900000000	49951
68000000000	49591
68100000000	50064
68200000000	50167
68300000000	50025
68400000000	50291
68500000000	49749
68600000000	50119
68700000000	49651
68800000000	49872
68900000000	50118
69000000000	49694
69100000000	50001
69200000000	50186
69300000000	50019
69400000000	49855
69500000000	50031
69600000000	49882
69700000000	49733
69800000000	49987
69900000000	50226
70000000000	50259
70100000000	49765
70200000000	49930
70300000000	50138
70400000000	50099
70500000000	49904
70600000000	49646
70700000000	50412
70800000000	50043
70900000000	49646
71000000000	49864
71100000000	50191
71200000000	49702
71300000000	50376
71400000000	50217
71500000000	50208
71600000000	49828
71700000000	50044
71800000000	49946
71900000000	50132
72000000000	50098
72100000000	50096
72200000000	49769
72300000000	49714
72400000000	50167
72500000000	49715
72600000000	50093
72700000000	50381
72800000000	50101
72900000000	50057
73000000000	49807
73100000000	50058
73200000000	49797
73300000000	50196
73400000000	50416
73500000000	49994
73600000000	50328
73700000000	49736
73800000000	50245
73900000000	49998
74000000000	49975
74100000000	50203
74200000000	50275
74300000000	49807
74400000000	50572
74500000000	50060
74600000000	50163
74700000000	49276
74800000000	49879
74900000000	49731
75000000000	50120
75100000000	49132
75200000000	49228
75300000000	48688
75400000000	48501
75500000000	48983
75600000000	47923
75700000000	48639
75800000000	48518
75900000000	48229
76000000000	48274
76100000000	48309
76200000000	48045
76300000000	48663
76400000000	48631
76500000000	48003
76600000000	48575
76700000000	48645
76800000000	48259
76900000000	48376
77000000000	48410
77100000000	48511
77200000000	48299
77300000000	48762
77400000000	48452
77500000000	48567
77600000000	48541
77700000000	48752
77800000000	48587
77900000000	48726
78000000000	48448
78100000000	48491
78200000000	48620
78300000000	48633
78400000000	48428
78500000000	48300
78600000000	48633
78700000000	48614
78800000000	48107
78900000000	48395
79000000000	48790
79100000000	48470
79200000000	48575
79300000000	48793
79400000000	48688
79500000000	48538
79600000000	48630
79700000000	49270
79800000000	48879
79900000000	48745
80000000000	48883
80100000000	48353
80200000000	48200
80300000000	48987
80400000000	48313
80500000000	48619
80600000000	48704
80700000000	48410
80800000000	48323
80900000000	48259
81000000000	48467
81100000000	48669
81200000000	48578
81300000000	48566
81400000000	48511
81500000000	48478
81600000000	48546
81700000000	48392
81800000000	48458
81900000000	48500
82000000000	48290
82100000000	48427
82200000000	48611
82300000000	48472
82400000000	48958
82500000000	48757
82600000000	48535
82700000000	48713
82800000000	48591
82900000000	48342
83000000000	48507
83100000000	48799
83200000000	48397
83300000000	48734
83400000000	48989
83500000000	48633
83600000000	48265
83700000000	48984
83800000000	48339
83900000000	48860
84000000000	48641
84100000000	48574
84200000000	48519
84300000000	48378
84400000000	48689
84500000000	48400
84600000000	48919
84700000000	48516
84800000000	48706
84900000000	48542
85000000000	48945
85100000000	48705
85200000000	48474
85300000000	48935
85400000000	48648
85500000000	49148
85600000000	48318
85700000000	48289
85800000000	48673
85900000000	48715
86000000000	48368
86100000000	48516
86200000000	48831
86300000000	48391
86400000000	49058
86500000000	48605
86600000000	48704
86700000000	48606
86800000000	48785
86900000000	48337
87000000000	48528
87100000000	48423
87200000000	48609
87300000000	48840
87400000000	48405
87500000000	48591
87600000000	48613
87700000000	48078
87800000000	48767
87900000000	48691
88000000000	48901
88100000000	48479
88200000000	48550
88300000000	48770
88400000000	48568
88500000000	48498
88600000000	48395
88700000000	48301
88800000000	48563
88900000000	48750
89000000000	48532
89100000000	48837
89200000000	48467
89300000000	48740
89400000000	48653
89500000000	48854
89600000000	49013
89700000000	48600
89800000000	48427
89900000000	48796
90000000000	48694
90100000000	48877
90200000000	48429
90300000000	48650
90400000000	48367
90500000000	48360
90600000000	48871
90700000000	48593
90800000000	48836
90900000000	49085
91000000000	48664
91100000000	48745
91200000000	48866
91300000000	48819
91400000000	48915
91500000000	49065
91600000000	48733
91700000000	48773
91800000000	49279
91900000000	48893
92000000000	49080
92100000000	48561
92200000000	48996
92300000000	49170
92400000000	49275
92500000000	49027
92600000000	48278
92700000000	49068
92800000000	48672
92900000000	48648
93000000000	48503
93100000000	49446
93200000000	48764
93300000000	48579
93400000000	48650
93500000000	48611
93600000000	48375
93700000000	48860
93800000000	48869
93900000000	49209
94000000000	48604
94100000000	48842
94200000000	48883
94300000000	48908
94400000000	48902
94500000000	48961
94600000000	48816
94700000000	49155
94800000000	49103
94900000000	48889
95000000000	48569
95100000000	48280
95200000000	48694
95300000000	48588
95400000000	49211
95500000000	48831
95600000000	48725
95700000000	48582
95800000000	48458
95900000000	48983
96000000000	48784
96100000000	48627
96200000000	48651
96300000000	48846
96400000000	48693
96500000000	48707
96600000000	49148
96700000000	48829
96800000000	48893
96900000000	48971
97000000000	49023
97100000000	48437
97200000000	48375
97300000000	48613
97400000000	49008
97500000000	48901
97600000000	48657
97700000000	49010
97800000000	48928
97900000000	48733
98000000000	48837
98100000000	48678
98200000000	48632
98300000000	48875
98400000000	48867
98500000000	48704
98600000000	48967
98700000000	49086
98800000000	48553
98900000000	48612
99000000000	48788
99100000000	48601
99200000000	48617
99300000000	49073
99400000000	48889
99500000000	48761
99600000000	48920
99700000000	48661
99800000000	48796
99900000000	49133
